Category,Name,Year_Ceremony,Year_Film,Date_Of_Birth,Film,Race_Ethnicity,Religion,Gender,Sexual_Orientation,Birthplace,Biourl
Best Actor,Emil Jannings,1928,1927,7/23/1884,The Last Command,White,Na,Male,Bisexual,"Rorschach, Switzerland",http://www.nndb.com/people/738/000063549/
Best Actress,Janet Gaynor,1928,1927,10/6/06,7th Heaven,White,Na,Female,Straight,"Philadelphia, Pa",http://www.nndb.com/people/129/000043000/
Best Actor,Warner Baxter,1929,1928,3/29/1889,In Old Arizona,White,Na,Male,Straight,"Columbus, Oh",http://www.nndb.com/people/739/000063550/
Best Actress,Mary Pickford,1929,1928,4/8/1892,Coquette,White,Na,Female,Straight,"Toronto, Ontario, Canada",http://www.nndb.com/people/683/000042557/
Best Director,Frank Lloyd,1929,1928,2/2/1886,The Divine Lady,White,Na,Male,Straight,"Glasgow, Scotland",http://www.nndb.com/people/626/000042500/
Best Actor,George Arliss,1930,1929,4/10/1868,Disraeli,White,Na,Male,Straight,"London, England",https://www.nndb.com/people/740/000063551/
Best Actress,Norma Shearer,1930,1929,8/10/02,The Divorcee,White,Na,Female,Straight,"Montreal, Quebec, Canada",http://www.nndb.com/people/813/000063624/
Best Director,Lewis Milestone,1930,1929,9/30/1895,All Quiet on the Western Front,White,Na,Male,Straight,"Chisinau, Moldova",http://www.nndb.com/people/320/000043191/
Best Actor,Lionel Barrymore,1931,1930,4/28/1878,A Free Soul,White,Roman Catholic,Male,Straight,"Philadelphia, Pa",http://www.nndb.com/people/741/000043612/
Best Actress,Marie Dressler,1931,1930,11/2/1868,Min and Bill,White,Na,Female,Straight,"Cobourg, Ontario, Canada",http://www.nndb.com/people/814/000063625/
Best Director,Norman Taurog,1931,1930,2/23/1899,Skippy,White,Na,Male,Straight,"Chicago, Il",http://www.nndb.com/people/544/000041421/
Best Actor,Wallace Beery,1932,1931,4/1/1885,The Champ,White,Na,Male,Straight,"Kansas City, Mo",http://www.nndb.com/people/976/000043847/
Best Actor,Fredric March,1932,1931,8/31/1897,Dr. Jekyll and Mr. Hyde,White,Na,Male,Straight,"Racine, Wi",https://www.nndb.com/people/255/000043126/
Best Actress,Helen Hayes,1932,1931,10/10/00,The Sin of Madelon Claudet,White,Na,Female,Straight,"Washington, Dc",http://www.nndb.com/people/908/000031815/
Best Director,Frank Borzage,1932,1931,4/23/1894,Bad Girl,White,Roman Catholic,Male,Straight,"Salt Lake City, Ut",http://www.nndb.com/people/292/000044160/
Best Actor,Charles Laughton,1933,1932,7/1/1899,The Private Life of Henry VIII,White,Roman Catholic,Male,Gay,"Victoria Hotel, Scarborough, Yorkshire, England",http://www.nndb.com/people/884/000042758/
Best Actress,Katharine Hepburn,1933,1932,5/12/07,Morning Glory,White,Atheist,Female,Bisexual,"Hartford, Ct",http://www.nndb.com/people/775/000023706/
Best Director,Frank Lloyd,1933,1932,2/2/1886,Cavalcade,White,Na,Male,Straight,"Glasgow, Scotland",http://www.nndb.com/people/626/000042500/
Best Actor,Clark Gable,1935,1934,2/1/01,It Happened One Night,White,Na,Male,Straight,"Cadiz, Oh",http://www.nndb.com/people/156/000027075/
Best Actress,Claudette Colbert,1935,1934,9/13/03,It Happened One Night,White,Na,Female,Straight,"Paris, France",http://www.nndb.com/people/935/000043806/
Best Director,Frank Capra,1935,1934,5/18/1897,It Happened One Night,White,Roman Catholic,Male,Straight,"Bisacquino, Sicily, Italy",http://www.nndb.com/people/459/000032363/
Best Actor,Victor McLaglen,1936,1935,12/11/1883,The Informer,White,Anglican/episcopalian,Male,Straight,"Tunbridge Wells, Kent, England",http://www.nndb.com/people/452/000047311/
Best Actress,Bette Davis,1936,1935,4/5/08,Dangerous,White,Na,Female,Straight,"Lowell, Ma",http://www.nndb.com/people/457/000026379/
Best Director,John Ford,1936,1935,2/1/1894,The Informer,White,Roman Catholic,Male,Bisexual,"Cape Elizabeth, Me",http://www.nndb.com/people/458/000032362/
Best Actor,Paul Muni,1937,1936,9/22/1895,The Story of Louis Pasteur,White,Jewish,Male,Straight,"Lviv, Ukraine",http://www.nndb.com/people/741/000063552/
Best Actress,Luise Rainer,1937,1936,1/12/10,The Great Ziegfeld,White,Jewish,Female,Straight,"Dusseldorf, Germany",http://www.nndb.com/people/796/000030706/
Best Director,Frank Capra,1937,1936,5/18/1897,Mr. Deeds Goes to Town,White,Roman Catholic,Male,Straight,"Bisacquino, Sicily, Italy",http://www.nndb.com/people/459/000032363/
Best Supporting Actor,Walter Brennan,1937,1936,7/25/1894,Come and Get It,White,Na,Male,Straight,"Swampscott, Ma",http://www.nndb.com/people/347/000032251/
Best Supporting Actress,Gale Sondergaard,1937,1936,2/15/1899,Anthony Adverse,White,Na,Female,Straight,"Litchfield, Mn",http://www.nndb.com/people/062/000063870/
Best Actor,Spencer Tracy,1938,1937,4/5/00,Captains Courageous,White,Roman Catholic,Male,Straight,"Milwaukee, Wi",http://www.nndb.com/people/979/000024907/
Best Actress,Luise Rainer,1938,1937,1/12/10,The Good Earth,White,Jewish,Female,Straight,"Dusseldorf, Germany",http://www.nndb.com/people/796/000030706/
Best Director,Leo McCarey,1938,1937,10/3/1898,The Awful Truth,White,Na,Male,Straight,"Los Angeles, Ca",http://www.nndb.com/people/380/000044248/
Best Supporting Actor,Joseph Schildkraut,1938,1937,3/22/1896,The Life of Emile Zola,White,Na,Male,Straight,"Vienna, Austria",http://www.nndb.com/people/115/000063923/
Best Supporting Actress,Alice Brady,1938,1937,11/2/1892,In Old Chicago,White,Na,Female,Straight,New York City,http://www.nndb.com/people/079/000063887/
Best Actor,Spencer Tracy,1939,1938,4/5/00,Boys Town,White,Roman Catholic,Male,Straight,"Milwaukee, Wi",http://www.nndb.com/people/979/000024907/
Best Actress,Bette Davis,1939,1938,4/5/08,Jezebel,White,Na,Female,Straight,"Lowell, Ma",http://www.nndb.com/people/457/000026379/
Best Director,Frank Capra,1939,1938,5/18/1897,You Can't Take It with You,White,Roman Catholic,Male,Straight,"Bisacquino, Sicily, Italy",http://www.nndb.com/people/459/000032363/
Best Supporting Actor,Walter Brennan,1939,1938,7/25/1894,Kentucky,White,Na,Male,Straight,"Swampscott, Ma",http://www.nndb.com/people/347/000032251/
Best Supporting Actress,Fay Bainter,1939,1938,12/7/1891,Jezebel,White,Na,Female,Straight,"Los Angeles, Ca",http://www.nndb.com/people/074/000063882/
Best Actor,Robert Donat,1940,1939,3/18/05,"Goodbye, Mr. Chips",White,Na,Male,Straight,"Withington, Manchester, England",https://www.nndb.com/people/742/000063553/
Best Actress,Vivien Leigh,1940,1939,11/5/13,Gone with the Wind,White,Roman Catholic,Female,Straight,"Darjeeling, India",http://www.nndb.com/people/470/000022404/
Best Director,Victor Fleming,1940,1939,2/23/1883,Gone with the Wind,White,Na,Male,Straight,"Pasadena, Ca",http://www.nndb.com/people/416/000041293/
Best Supporting Actor,Thomas Mitchell,1940,1939,7/11/1892,Stagecoach,White,Na,Male,Straight,"Elizabeth, Nj",http://www.nndb.com/people/116/000063924/
Best Supporting Actress,Hattie McDaniel,1940,1939,6/10/1893,Gone with the Wind,Black,Christian,Female,Matter of Dispute,"Wichita, Ks",http://www.nndb.com/people/077/000063885/
Best Actor,James Stewart,1941,1940,5/20/08,The Philadelphia Story,White,Presbyterian,Male,Straight,"Indiana, Pa",https://www.nndb.com/people/659/000026581/
Best Actress,Ginger Rogers,1941,1940,7/16/11,Kitty Foyle,White,Christian Science,Female,Straight,"Independence, Mo",http://www.nndb.com/people/635/000043506/
Best Actress,Ginger Rogers,1941,1940,7/16/11,Kitty Foyle,White,Christian Science,Female,Straight,"Independence, Mo",http://www.nndb.com/people/635/000043506/
Best Director,John Ford,1941,1940,2/1/1894,The Grapes of Wrath,White,Roman Catholic,Male,Bisexual,"Cape Elizabeth, Me",http://www.nndb.com/people/458/000032362/
Best Supporting Actor,Walter Brennan,1941,1940,7/25/1894,The Westerner,White,Na,Male,Straight,"Swampscott, Ma",http://www.nndb.com/people/347/000032251/
Best Supporting Actress,Jane Darwell,1941,1940,10/15/1879,The Grapes of Wrath,White,Na,Female,Straight,"Palmyra, Mo",http://www.nndb.com/people/078/000063886/
Best Actor,Gary Cooper,1942,1941,5/7/01,Sergeant York,White,Roman Catholic,Male,Straight,"Helena, Mt",http://www.nndb.com/people/740/000031647/
